"Circuito"                   ,"DSL"      ,"Transaction Cost" ,"Execution Cost (Deploy)" ,"Execution Cost (Call)" ,"Constraints" ,"Wires" ,"Proof Size" ,"Proving Key Size" ,"Verification Key Size" ,"R1CS Size" ,"Compilation Time" ,"Proof Generation Time"
"factorization.circom"       ,"Circom"   ,            379073 ,                   301741 ,                 189128 ,            1 ,4       ,         805 ,              5371 ,                   2923 ,264         ,             0.012 ,                  0.642
"age_verification.circom"    ,"Circom"   ,            379109 ,                   301741 ,                 189128 ,           12 ,14      ,         807 ,             18321 ,                   2920 ,1952        ,             0.023 ,                  0.627
"sha256_verification.circom" ,"Circom"   ,           5606741 ,                  5148135 ,                1884113 ,        31264 ,30957   ,         802 ,          34758882 ,                  49603 ,6880672     ,             1.729 ,                  1.261
"sudoku.circom"              ,"Circom"   ,           2036723 ,                  1838531 ,                 727535 ,         7695 ,7454    ,         806 ,           9517237 ,                  17745 ,1120196     ,             0.133 ,                  0.817
"hamiltonian_cycle.circom"   ,"Circom"   ,           2427346 ,                  2200744 ,                 853828 ,          417 ,509     ,         806 ,            704434 ,                  21231 ,62612       ,             0.055 ,                  0.76
"factorization.zok"          ,"Zokrates" ,           1154797 ,                  1021059 ,                 218115 ,            1 ,4       ,         849 ,              2096 ,                   1589 ,264         ,             0.005 ,                  0.015
"age_verification.zok"       ,"Zokrates" ,           1154533 ,                  1020859 ,                 218115 ,          763 ,762     ,         849 ,            309936 ,                   1589 ,125128      ,             0.010 ,                  0.064
"sha256_verification.zok"    ,"Zokrates" ,           1143043 ,                  1010245 ,                 226634 ,        48886 ,48575   ,         923 ,          19738864 ,                   1753 ,49379432    ,             1.918 ,                  1.061
"sudoku.zok"                 ,"Zokrates" ,           3230248 ,                  2942622 ,                 903635 ,       104167 ,103271  ,        6769 ,          41435888 ,                  14709 ,23331044    ,             2.704 ,                  1.104
"hamiltonian_cycle.zok"      ,"Zokrates" ,           3723265 ,                  3398985 ,                1067636 ,        15394 ,15303   ,        8175 ,           5946096 ,                  17825 ,3235540     ,             0.334 ,                  0.210
"factorization.nr"           ,"Noir"     ,           2489090 ,                  2215630 ,                 373424 ,           17 ,NaN     ,        2176 ,             38132 ,                   1779 ,NaN         ,             0.170 ,                  0.107
"age_verification.nr"        ,"Noir"     ,           2488100 ,                  2214830 ,                 373814 ,           69 ,NaN     ,        2176 ,            285428 ,                   1779 ,NaN         ,             0.165 ,                  0.138
"sha256_verification.nr"     ,"Noir"     ,           2489018 ,                  2215630 ,                 381624 ,         7834 ,NaN     ,        3168 ,         289409780 ,                   1779 ,NaN         ,             0.177 ,                  1.808
"sudoku.nr"                  ,"Noir"     ,           2489078 ,                  2215630 ,                 409218 ,         9112 ,NaN     ,        7328 ,          72364004 ,                   1779 ,NaN         ,             0.207 ,                  0.636
"hamiltonian_cycle.nr"       ,"Noir"     ,           2488666 ,                  2215430 ,                 395747 ,         5226 ,NaN     ,        5344 ,          36181468 ,                   1779 ,NaN         ,             0.181 ,                  0.395
 